"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка входа в систему с коррекными пользовательскими данными","393","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 18:06:32 GMT 2025","passed","Mon Jun 16 18:06:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"","743","checkLocator","Surefire suite","Mon Jun 16 18:06:17 GMT 2025","passed","Mon Jun 16 18:06:18 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","842","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:06:29 GMT 2025","passed","Mon Jun 16 18:06:30 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","602","checkContinueSoppingButton","Surefire suite","Mon Jun 16 18:06:35 GMT 2025","passed","Mon Jun 16 18:06:36 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"Проверка покупки товара с коррекными пользовательскими данными","965","checkSuccessCheckout","Surefire suite","Mon Jun 16 18:06:19 GMT 2025","passed","Mon Jun 16 18:06:20 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","382","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 18:06:33 GMT 2025","passed","Mon Jun 16 18:06:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"","844","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:06:31 GMT 2025","passed","Mon Jun 16 18:06:31 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка того, что товар корректно удаляется из корзины","5609","checkRemoveProduct","Surefire suite","Mon Jun 16 18:06:43 GMT 2025","passed","Mon Jun 16 18:06:49 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"Проврека добавления товара в корзину","651","checkProductPurchase","Surefire suite","Mon Jun 16 18:06:36 GMT 2025","passed","Mon Jun 16 18:06:37 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"","845","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:06:27 GMT 2025","passed","Mon Jun 16 18:06:27 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке сохранения формы без Last Name","848","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 18:06:24 GMT 2025","passed","Mon Jun 16 18:06:25 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"","847","fillingFormFromParameters","Surefire suite","Mon Jun 16 18:06:28 GMT 2025","passed","Mon Jun 16 18:06:29 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверка отображения валидации при попытке сохранения формы без First Name","859","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 18:06:23 GMT 2025","passed","Mon Jun 16 18:06:24 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","861","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 18:06:21 GMT 2025","passed","Mon Jun 16 18:06:22 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка отображения Cart страницы после нажатия кнопки cancel","733","checkCancelCheckout","Surefire suite","Mon Jun 16 18:06:20 GMT 2025","passed","Mon Jun 16 18:06:21 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","856","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 18:06:25 GMT 2025","passed","Mon Jun 16 18:06:26 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"","425","checkSuccessLogin","Surefire suite","Mon Jun 16 18:06:34 GMT 2025","passed","Mon Jun 16 18:06:35 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","393","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 18:06:34 GMT 2025","passed","Mon Jun 16 18:06:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"Проверяет стандартное отображение страницы корзины без товаров.","5473","checkCartEmptyState","Surefire suite","Mon Jun 16 18:06:38 GMT 2025","passed","Mon Jun 16 18:06:43 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
